Id,Probability
ea3290d7769b069f78656ea2217067b3_Zone10, 0.138123
db915c7821080439403d1ab21930f8a4_Zone8, 0.05
b7076e8fa7af8ce574ccdb59f1c1c7b2_Zone10, 0.05
8ae7925ff082e37b2b705071dae57db8_Zone10, 0.05
b26e79a465ebac796ceb022cb998c236_Zone10, 0.05
78e2a05bb2cb447cbbc4b13fce385eff_Zone10, 0.05
53f844c24da6ba92e79a056cd4aa3627_Zone10, 0.05
b26e79a465ebac796ceb022cb998c236_Zone8, 0.05
db915c7821080439403d1ab21930f8a4_Zone10, 0.05
6ec5ce5500d9ce14887e64f47486ad5f_Zone10, 0.05
8266fe33ef4df80aa66ff25bb0713c64_Zone10, 0.05
e1b48bcc8d13f1cdf8e1e98383ac5fae_Zone10, 0.05
77f978889c53f450cef41dd5c559f800_Zone10, 0.05
1b861c23fc370c326ec8342733ef5d84_Zone8, 0.05
572b2d27afbfc215f55040501a0ae8b8_Zone8, 0.05
b9f49657be5a7c9da830c0ff75e497aa_Zone10, 0.05
d9a7e03c0bc6d9eaf711152972cf99ae_Zone10, 0.05
54becfebc071bf769a187bd50981f186_Zone10, 0.05
bd2504fa78db460fb92eb3764a46b3db_Zone8, 0.05
8c74804799996ecb5ea45272ef387e41_Zone8, 0.585176
bbf660665e2c8e34b80322150484ab4a_Zone10, 0.05
8cad214bfc98e58fb873130aa71c8503_Zone8, 0.05
6195fafc8d524bba24a71c862ae43b27_Zone10, 0.95
0a83698bce92a6824dcc37c1d7fc31f5_Zone8, 0.05
9aeb4c826a79835c04428163b2805507_Zone10, 0.0970927
433d90f22cd87cb66139d491f753470f_Zone8, 0.05
c25859785ce48c8c8d7e1b4e19a6617b_Zone8, 0.05
cf0a5e997ce34fbd415f12ca95dcfcc5_Zone8, 0.95
0fadb2ac7be1a0ed6fb7cd81372c18ba_Zone10, 0.05
77e6f30d7fb024b57861075d9cdb2e61_Zone8, 0.05
4d09ae2cb8b4841f93b256e1af2212e2_Zone8, 0.05
e0c39c6bf891474438bc44e05a953781_Zone10, 0.05
50c146d2bef02ff453f63104968bd456_Zone10, 0.05
334cfc11aceab7e8bbd1d711f70c514d_Zone10, 0.05
a53984435fe0345028ecc9b1fdf85a23_Zone8, 0.95
54becfebc071bf769a187bd50981f186_Zone8, 0.05
0367394485447c1c3485359ba71f52cb_Zone8, 0.05
27069e6977eb7e0ccd913af254932e39_Zone8, 0.05
8cc399745b482846956be7307b0bd70f_Zone8, 0.05
0b2996d90c7250a3acb63cab6ae5bebe_Zone10, 0.05
6ad2f3e44e78a904d17965f91148bae7_Zone8, 0.05
c864d6466ebf808bc293173c9a5df709_Zone10, 0.05
49c3fc4b14948ab097a3462bb825e2f0_Zone8, 0.05
bd2504fa78db460fb92eb3764a46b3db_Zone10, 0.05
8cad214bfc98e58fb873130aa71c8503_Zone10, 0.05
981a04410b05dd40c538f84b02300759_Zone8, 0.05
667e6cb559880b13e123970d7d443a76_Zone8, 0.05
104e284349ffe68378745fc8c5638eab_Zone10, 0.0566846
9d340a2292b91b6d365091dcec525c53_Zone10, 0.05
9aeb4c826a79835c04428163b2805507_Zone8, 0.0978292
a9279d73c52859e47cc73c73f4ebdec1_Zone10, 0.104423
bad6cac85809cbc9bc7c3d8dfd063841_Zone10, 0.05
53c9d8c270112c05d9906e4b492c067a_Zone10, 0.05
76187ea862405caf22ce4626a0865d7e_Zone8, 0.05
6876581e7bfb9a417b0f50ded0c44191_Zone10, 0.05
5a09d8d04a872ea04f7043bc5e0cfff8_Zone8, 0.05
433d90f22cd87cb66139d491f753470f_Zone10, 0.0526046
78e2a05bb2cb447cbbc4b13fce385eff_Zone8, 0.05
53f844c24da6ba92e79a056cd4aa3627_Zone8, 0.05
89a7c3afee3ab7851f28cd66ed4bba53_Zone8, 0.05
7165af08cab4f780450d5cd41d7568f2_Zone8, 0.95
b44e79c5283d5b7aa587ac26c8f3803a_Zone8, 0.05
cb4aad9898654da3b7a079837d452c7a_Zone8, 0.05
cc9df85ad3f810f32450be5afcbaa019_Zone10, 0.05
8a59e4cd0ab21f8ac3c468ab63d2bc02_Zone10, 0.05
366b47c7a8ccab2cd0e5834dde998765_Zone10, 0.05
be0008e3e3ce57188aa0509d5a557ced_Zone8, 0.05
b9f49657be5a7c9da830c0ff75e497aa_Zone8, 0.05
6ec5ce5500d9ce14887e64f47486ad5f_Zone8, 0.05
92447e0dccf16de23066830b85ef1445_Zone10, 0.05
2b81524a1a36b6b91baf7c84dc16b29b_Zone10, 0.05
12ed0db15024397106482c4983ad2d92_Zone10, 0.05
adc28b596accd5039620bfef68feacf3_Zone8, 0.05
4e400a40fb57cb44bfa0019fc8ebb63b_Zone10, 0.05
bad6cac85809cbc9bc7c3d8dfd063841_Zone8, 0.05
0a83698bce92a6824dcc37c1d7fc31f5_Zone10, 0.05
