Id,Probability
db915c7821080439403d1ab21930f8a4_Zone16, 2.59359e-05
d9b6081197ee70ebcaeabc8bf7749792_Zone15, 2.96811e-06
d9a7e03c0bc6d9eaf711152972cf99ae_Zone15, 1.37607e-06
5ad549b6c14ae5528a56216360e87829_Zone15, 5.80686e-07
b26e79a465ebac796ceb022cb998c236_Zone16, 0.000879571
104e284349ffe68378745fc8c5638eab_Zone15, 0.978513
b7076e8fa7af8ce574ccdb59f1c1c7b2_Zone15, 4.106e-06
9e3ed73cf898679f5849315d9daae83a_Zone16, 7.90361e-07
58d8d053c3b4585d4462f5ecb1452cdb_Zone16, 2.70041e-05
e5c71e8fddb958908a69dbc1ddf074ba_Zone15, 7.5746e-06
1ccf082d6f3d51bd55113fb092be0e59_Zone16, 0.000115845
c25859785ce48c8c8d7e1b4e19a6617b_Zone16, 1.02057e-05
249092cc1775fabcb79ba439ba974759_Zone15, 0.00264151
433d90f22cd87cb66139d491f753470f_Zone16, 7.36994e-06
ea3290d7769b069f78656ea2217067b3_Zone15, 2.21368e-07
a9279d73c52859e47cc73c73f4ebdec1_Zone16, 1.53939e-05
b7076e8fa7af8ce574ccdb59f1c1c7b2_Zone16, 6.17083e-05
54becfebc071bf769a187bd50981f186_Zone15, 5.22293e-05
89a7c3afee3ab7851f28cd66ed4bba53_Zone16, 1.39943e-06
84c8eb37e1d8b6a31178fb7acde129cc_Zone16, 2.42815e-05
1240199d7b5d6d1c709b13381a198b75_Zone16, 1.3726e-05
8cc399745b482846956be7307b0bd70f_Zone15, 0.513578
cf07122136018767ce90ad0e2123da04_Zone15, 0.000189725
cc9df85ad3f810f32450be5afcbaa019_Zone16, 4.75456e-06
cb4aad9898654da3b7a079837d452c7a_Zone16, 0.000225302
4d09ae2cb8b4841f93b256e1af2212e2_Zone15, 4.57727e-07
12ed0db15024397106482c4983ad2d92_Zone15, 0.000866299
d9a7e03c0bc6d9eaf711152972cf99ae_Zone16, 0.0130686
5ac9b630644efda24a7888b4905e422c_Zone15, 6.48681e-06
be0008e3e3ce57188aa0509d5a557ced_Zone16, 1.43757e-05
e05f6b1f43da2b6cffdb1fcf2e3bb930_Zone15, 0.0112378
89a7c3afee3ab7851f28cd66ed4bba53_Zone15, 0.000176443
78e2a05bb2cb447cbbc4b13fce385eff_Zone16, 4.22772e-07
80f5b34aa8c962cc30138bc9c70343b5_Zone16, 4.20411e-05
6ec5ce5500d9ce14887e64f47486ad5f_Zone16, 1.44515e-06
49c3fc4b14948ab097a3462bb825e2f0_Zone16, 5.4214e-06
5a09d8d04a872ea04f7043bc5e0cfff8_Zone15, 1.08124e-06
9e3ed73cf898679f5849315d9daae83a_Zone15, 2.11397e-05
53f844c24da6ba92e79a056cd4aa3627_Zone15, 0.00010485
12ed0db15024397106482c4983ad2d92_Zone16, 4.91844e-06
3de88afea1b8fd356b119c5b44dcb47e_Zone16, 3.45217e-06
8c74804799996ecb5ea45272ef387e41_Zone15, 0.000138659
e0c39c6bf891474438bc44e05a953781_Zone16, 2.89128e-05
54becfebc071bf769a187bd50981f186_Zone16, 0.0210905
123d65c19a4d7f395b3719d47d5666b5_Zone16, 6.15685e-06
86b8e947df9cc7d357e8d5f44a63af0d_Zone16, 8.03432e-05
572b2d27afbfc215f55040501a0ae8b8_Zone15, 1.12606e-05
92447e0dccf16de23066830b85ef1445_Zone16, 1.06381e-06
bd2504fa78db460fb92eb3764a46b3db_Zone15, 1.60751e-05
ea3290d7769b069f78656ea2217067b3_Zone16, 1.06474e-06
47101ab882f74b44d325c4309f5a45da_Zone16, 1.77346e-05
dc86f115cbad5fec85ad22b3d7600e0a_Zone16, 2.67408e-05
6efc41a030bd27eb70407184e427b165_Zone15, 0.000796845
1b861c23fc370c326ec8342733ef5d84_Zone15, 3.50437e-07
cf40b637efa6ec70e7281dedbfdcc1c4_Zone16, 0.00668714
6ec5ce5500d9ce14887e64f47486ad5f_Zone15, 0.000435889
e5c71e8fddb958908a69dbc1ddf074ba_Zone16, 9.26505e-06
