Id,Probability
db915c7821080439403d1ab21930f8a4_Zone16, 0.05
d9b6081197ee70ebcaeabc8bf7749792_Zone15, 0.05
d9a7e03c0bc6d9eaf711152972cf99ae_Zone15, 0.05
5ad549b6c14ae5528a56216360e87829_Zone15, 0.05
b26e79a465ebac796ceb022cb998c236_Zone16, 0.05
104e284349ffe68378745fc8c5638eab_Zone15, 0.95
b7076e8fa7af8ce574ccdb59f1c1c7b2_Zone15, 0.05
9e3ed73cf898679f5849315d9daae83a_Zone16, 0.05
58d8d053c3b4585d4462f5ecb1452cdb_Zone16, 0.05
e5c71e8fddb958908a69dbc1ddf074ba_Zone15, 0.05
1ccf082d6f3d51bd55113fb092be0e59_Zone16, 0.05
c25859785ce48c8c8d7e1b4e19a6617b_Zone16, 0.05
249092cc1775fabcb79ba439ba974759_Zone15, 0.05
433d90f22cd87cb66139d491f753470f_Zone16, 0.05
ea3290d7769b069f78656ea2217067b3_Zone15, 0.05
a9279d73c52859e47cc73c73f4ebdec1_Zone16, 0.05
b7076e8fa7af8ce574ccdb59f1c1c7b2_Zone16, 0.05
54becfebc071bf769a187bd50981f186_Zone15, 0.05
89a7c3afee3ab7851f28cd66ed4bba53_Zone16, 0.05
84c8eb37e1d8b6a31178fb7acde129cc_Zone16, 0.05
1240199d7b5d6d1c709b13381a198b75_Zone16, 0.05
8cc399745b482846956be7307b0bd70f_Zone15, 0.513585
cf07122136018767ce90ad0e2123da04_Zone15, 0.05
cc9df85ad3f810f32450be5afcbaa019_Zone16, 0.05
cb4aad9898654da3b7a079837d452c7a_Zone16, 0.05
4d09ae2cb8b4841f93b256e1af2212e2_Zone15, 0.05
12ed0db15024397106482c4983ad2d92_Zone15, 0.05
d9a7e03c0bc6d9eaf711152972cf99ae_Zone16, 0.05
5ac9b630644efda24a7888b4905e422c_Zone15, 0.05
be0008e3e3ce57188aa0509d5a557ced_Zone16, 0.05
e05f6b1f43da2b6cffdb1fcf2e3bb930_Zone15, 0.05
89a7c3afee3ab7851f28cd66ed4bba53_Zone15, 0.05
78e2a05bb2cb447cbbc4b13fce385eff_Zone16, 0.05
80f5b34aa8c962cc30138bc9c70343b5_Zone16, 0.05
6ec5ce5500d9ce14887e64f47486ad5f_Zone16, 0.05
49c3fc4b14948ab097a3462bb825e2f0_Zone16, 0.05
5a09d8d04a872ea04f7043bc5e0cfff8_Zone15, 0.05
9e3ed73cf898679f5849315d9daae83a_Zone15, 0.05
53f844c24da6ba92e79a056cd4aa3627_Zone15, 0.05
12ed0db15024397106482c4983ad2d92_Zone16, 0.05
3de88afea1b8fd356b119c5b44dcb47e_Zone16, 0.05
8c74804799996ecb5ea45272ef387e41_Zone15, 0.05
e0c39c6bf891474438bc44e05a953781_Zone16, 0.05
54becfebc071bf769a187bd50981f186_Zone16, 0.05
123d65c19a4d7f395b3719d47d5666b5_Zone16, 0.05
86b8e947df9cc7d357e8d5f44a63af0d_Zone16, 0.05
572b2d27afbfc215f55040501a0ae8b8_Zone15, 0.05
92447e0dccf16de23066830b85ef1445_Zone16, 0.05
bd2504fa78db460fb92eb3764a46b3db_Zone15, 0.05
ea3290d7769b069f78656ea2217067b3_Zone16, 0.05
47101ab882f74b44d325c4309f5a45da_Zone16, 0.05
dc86f115cbad5fec85ad22b3d7600e0a_Zone16, 0.05
6efc41a030bd27eb70407184e427b165_Zone15, 0.05
1b861c23fc370c326ec8342733ef5d84_Zone15, 0.05
cf40b637efa6ec70e7281dedbfdcc1c4_Zone16, 0.05
6ec5ce5500d9ce14887e64f47486ad5f_Zone15, 0.05
e5c71e8fddb958908a69dbc1ddf074ba_Zone16, 0.05
5a6122a9c7b29434c985dac7f6f2a5d6_Zone15, 0.05
366b47c7a8ccab2cd0e5834dde998765_Zone16, 0.05
53c9d8c270112c05d9906e4b492c067a_Zone15, 0.05
0fd54393dce1f55b5a4d7e30b8642158_Zone16, 0.05
c25859785ce48c8c8d7e1b4e19a6617b_Zone15, 0.05
9aeb4c826a79835c04428163b2805507_Zone16, 0.05
ce8ab5548464940a8a14a813a75500d0_Zone16, 0.05
76187ea862405caf22ce4626a0865d7e_Zone15, 0.05
1b861c23fc370c326ec8342733ef5d84_Zone16, 0.05
86b8e947df9cc7d357e8d5f44a63af0d_Zone15, 0.05
8cad214bfc98e58fb873130aa71c8503_Zone16, 0.05
cb4aad9898654da3b7a079837d452c7a_Zone15, 0.05
667e6cb559880b13e123970d7d443a76_Zone15, 0.05
dc86f115cbad5fec85ad22b3d7600e0a_Zone15, 0.05
49c3fc4b14948ab097a3462bb825e2f0_Zone15, 0.05
8ae7925ff082e37b2b705071dae57db8_Zone16, 0.05
8ae7925ff082e37b2b705071dae57db8_Zone15, 0.05
92447e0dccf16de23066830b85ef1445_Zone15, 0.05
d9b6081197ee70ebcaeabc8bf7749792_Zone16, 0.05
981a04410b05dd40c538f84b02300759_Zone16, 0.05
45e7ebd5a3cac11dcafdee7b1d79003f_Zone15, 0.05
adc28b596accd5039620bfef68feacf3_Zone16, 0.05
8cad214bfc98e58fb873130aa71c8503_Zone15, 0.95
b9f49657be5a7c9da830c0ff75e497aa_Zone15, 0.05
1ccf082d6f3d51bd55113fb092be0e59_Zone15, 0.05
334cfc11aceab7e8bbd1d711f70c514d_Zone16, 0.05
0749d03b6d2d1eebb6c24ecb3c36e645_Zone15, 0.05
77f978889c53f450cef41dd5c559f800_Zone16, 0.05
6195fafc8d524bba24a71c862ae43b27_Zone15, 0.05
5a6122a9c7b29434c985dac7f6f2a5d6_Zone16, 0.929728
6ad2f3e44e78a904d17965f91148bae7_Zone16, 0.05
ad4a88206e1e7843b954997fa019cbe1_Zone15, 0.05
a53984435fe0345028ecc9b1fdf85a23_Zone15, 0.05
4fe8088fd2a96d3d36e45600c75964a8_Zone15, 0.05
8a59e4cd0ab21f8ac3c468ab63d2bc02_Zone16, 0.05
e0c39c6bf891474438bc44e05a953781_Zone15, 0.05
bbf660665e2c8e34b80322150484ab4a_Zone15, 0.05
1cef83028272a04070fbdffae5796a87_Zone15, 0.05
1cef83028272a04070fbdffae5796a87_Zone16, 0.95
0fadb2ac7be1a0ed6fb7cd81372c18ba_Zone16, 0.05
47101ab882f74b44d325c4309f5a45da_Zone15, 0.05
cf07122136018767ce90ad0e2123da04_Zone16, 0.05
366b47c7a8ccab2cd0e5834dde998765_Zone15, 0.05
b805325a87f8132b90efccfe3a024023_Zone15, 0.05
572b2d27afbfc215f55040501a0ae8b8_Zone16, 0.05
6ad2f3e44e78a904d17965f91148bae7_Zone15, 0.05
5b900a35f3e9591914ea328cacb73dfa_Zone15, 0.05
b805325a87f8132b90efccfe3a024023_Zone16, 0.82699
2b81524a1a36b6b91baf7c84dc16b29b_Zone16, 0.05
5ad549b6c14ae5528a56216360e87829_Zone16, 0.05
27069e6977eb7e0ccd913af254932e39_Zone15, 0.05
45e7ebd5a3cac11dcafdee7b1d79003f_Zone16, 0.05
28970155f9954bbd7d5c737b60a66b5a_Zone16, 0.05
a1dab2b6bbdfec641c63b14c63eecc8f_Zone16, 0.05
5b900a35f3e9591914ea328cacb73dfa_Zone16, 0.05
77f978889c53f450cef41dd5c559f800_Zone15, 0.05
80f5b34aa8c962cc30138bc9c70343b5_Zone15, 0.173001
6195fafc8d524bba24a71c862ae43b27_Zone16, 0.05
0a83698bce92a6824dcc37c1d7fc31f5_Zone15, 0.05
08dc52d08482393070d8c71b11902636_Zone16, 0.05
1cb13f156bd436222447dd658180bd96_Zone15, 0.05
667e6cb559880b13e123970d7d443a76_Zone16, 0.05
bad6cac85809cbc9bc7c3d8dfd063841_Zone16, 0.05
0b2996d90c7250a3acb63cab6ae5bebe_Zone16, 0.05
cf0a5e997ce34fbd415f12ca95dcfcc5_Zone16, 0.05
1240199d7b5d6d1c709b13381a198b75_Zone15, 0.05
db915c7821080439403d1ab21930f8a4_Zone15, 0.05
5ac9b630644efda24a7888b4905e422c_Zone16, 0.05
28970155f9954bbd7d5c737b60a66b5a_Zone15, 0.05
77fa6aa1e3c2ac6ec2c31457abcc2ca2_Zone16, 0.748302
ce8ab5548464940a8a14a813a75500d0_Zone15, 0.05
58d8d053c3b4585d4462f5ecb1452cdb_Zone15, 0.05
77fa6aa1e3c2ac6ec2c31457abcc2ca2_Zone15, 0.05
0fadb2ac7be1a0ed6fb7cd81372c18ba_Zone15, 0.05
2b81524a1a36b6b91baf7c84dc16b29b_Zone15, 0.05
104e284349ffe68378745fc8c5638eab_Zone16, 0.05
0b2996d90c7250a3acb63cab6ae5bebe_Zone15, 0.05
a1dab2b6bbdfec641c63b14c63eecc8f_Zone15, 0.05
35fcc4eea20865907dd58ad98684d52b_Zone16, 0.05
b44e79c5283d5b7aa587ac26c8f3803a_Zone16, 0.05
8cc399745b482846956be7307b0bd70f_Zone16, 0.05
a9279d73c52859e47cc73c73f4ebdec1_Zone15, 0.05
c864d6466ebf808bc293173c9a5df709_Zone16, 0.05
77e6f30d7fb024b57861075d9cdb2e61_Zone15, 0.05
4e400a40fb57cb44bfa0019fc8ebb63b_Zone16, 0.05
53c9d8c270112c05d9906e4b492c067a_Zone16, 0.05
9d340a2292b91b6d365091dcec525c53_Zone15, 0.05
76187ea862405caf22ce4626a0865d7e_Zone16, 0.834169
b9f49657be5a7c9da830c0ff75e497aa_Zone16, 0.05
4e400a40fb57cb44bfa0019fc8ebb63b_Zone15, 0.05
9d340a2292b91b6d365091dcec525c53_Zone16, 0.05
a53984435fe0345028ecc9b1fdf85a23_Zone16, 0.05
